01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
LVS,38.9200,39.0850,36.6200,36.6200,8245769,2022-09-21,39.2800,-2.6600,-6.7719%
LYG,2.1700,2.1800,2.1100,2.1100,11190411,2022-09-21,2.1900,-0.0800,-3.6530%
LMT,427.9900,433.7860,420.0300,420.2000,2078242,2022-09-21,420.5800,-0.3800,-0.0904%
LUKOY,6.9600,6.9600,6.9600,6.9600,0,2022-09-21,6.9600,0.0000,0.0000%
MMC,156.5400,158.6400,153.5600,153.6000,1348344,2022-09-21,155.4700,-1.8700,-1.2028%
MA,314.4800,314.9800,304.2200,304.5000,2318458,2022-09-21,313.2700,-8.7700,-2.7995%
MCD,255.1300,256.9100,251.0800,251.0800,2362738,2022-09-21,255.4000,-4.3200,-1.6915%
MDT,88.7800,89.2000,85.7000,85.7300,5231602,2022-09-21,88.4600,-2.7300,-3.0861%
MELI,905.8900,931.4800,887.3614,887.5000,635373,2022-09-21,905.6900,-18.1900,-2.0084%
,,,,,,,,,
MRK,86.2500,86.4950,84.5200,84.5300,6983239,2022-09-21,86.0000,-1.4700,-1.7093%
META,146.3900,149.6000,142.0000,142.1200,38008475,2022-09-21,146.0900,-3.9700,-2.7175%
MSFT,244.2700,247.6600,238.9000,238.9500,28199576,2022-09-21,242.4500,-3.5000,-1.4436%
MUFG,5.0400,5.0950,5.0000,5.0000,4026823,2022-09-21,5.0100,-0.0100,-0.1996%
MFG,2.3600,2.3600,2.3100,2.3100,930019,2022-09-21,2.3500,-0.0400,-1.7021%
MBT,5.5000,5.5000,5.5000,5.5000,0,2022-09-21,5.5000,0.0000,0.0000%
MSI,239.9300,240.3200,237.7400,239.5100,570174,2022-09-20,240.5700,-1.0600,-0.4406%
NGG,59.5700,59.9300,58.7600,58.7600,342189,2022-09-21,58.9500,-0.1900,-0.3223%
NTCO,5.9200,6.1900,5.8400,6.0100,398121,2022-09-21,5.9700,0.0400,0.6700%
,,,,,,,,,
NTES,80.9700,81.8600,79.1900,79.7600,1592803,2022-09-21,83.9800,-4.2200,-5.0250%
