01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
SAN,2.3300,2.3600,2.3100,2.3400,4002605,2022-10-12,2.3700,-0.0300,-1.2658%
BAC,29.6400,30.3099,29.4800,29.8600,35977417,2022-10-12,29.7700,0.0900,0.3023%
BK,38.2500,38.5500,37.2700,37.2900,8070609,2022-10-12,38.4800,-1.1900,-3.0925%
BCS,5.9100,6.1150,5.8850,6.0500,14350294,2022-10-12,6.1200,-0.0700,-1.1438%
GOLD,15.0600,15.3150,14.8900,15.0600,22257474,2022-10-12,15.0100,0.0500,0.3331%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BHP,49.1900,50.0600,49.0600,49.1400,3566396,2022-10-12,50.1300,-0.9900,-1.9749%
BIOX,12.2800,12.4700,12.1500,12.4300,45025,2022-10-12,12.4200,0.0100,0.0805%
BIIB,254.5100,256.1200,250.9400,253.6700,1589291,2022-10-12,254.0700,-0.4000,-0.1574%
BB,4.1600,4.2500,4.1100,4.2000,9147032,2022-10-12,4.1800,0.0200,0.4785%
BA,128.4300,131.3400,127.8600,130.4200,6330704,2022-10-12,131.5700,-1.1500,-0.8741%
BP,29.7600,30.0800,29.5400,29.9500,9144099,2022-10-12,29.8100,0.1400,0.4696%
BRFS,2.7100,2.7180,2.6400,2.6800,1915263,2022-10-12,2.7000,-0.0200,-0.7407%
BMY,69.6900,70.4900,69.2500,69.2800,6677309,2022-10-12,69.6500,-0.3700,-0.5312%
AVGO,432.2500,435.7200,428.0100,430.5700,1492431,2022-10-12,430.7600,-0.1900,-0.0441%
BG,86.5500,88.3300,83.6800,87.6000,1864285,2022-10-12,86.2000,1.4000,1.6241%
CAJ,21.9200,22.0800,21.8500,21.9800,339468,2022-10-12,22.0700,-0.0900,-0.4078%
CAH,70.0900,70.4000,67.8600,67.8600,3762229,2022-10-12,70.3300,-2.4700,-3.5120%
CAT,179.4800,181.1200,178.7800,179.5000,2251605,2022-10-12,179.7500,-0.2500,-0.1391%
CX,3.3700,3.4400,3.3100,3.3900,3445629,2022-10-12,3.3800,0.0100,0.2959%
EBR,8.6600,8.6600,8.3600,8.3800,1664223,2022-10-12,8.6600,-0.2800,-3.2333%
CVX,156.1400,158.8058,155.5200,157.6400,4924293,2022-10-12,157.1700,0.4700,0.2990%
LFCHY,6.0500,6.1700,6.0500,6.1400,53194,2022-10-12,6.1100,0.0300,0.4910%
SNPTY,42.9999,42.9999,41.8900,41.9600,6854,2022-10-12,42.6100,-0.6500,-1.5255%
CBD,3.7700,3.7700,3.6600,3.7200,655107,2022-10-12,3.7700,-0.0500,-1.3263%
ELP,6.0900,6.0900,5.9100,5.9100,605278,2022-10-12,6.0900,-0.1800,-2.9557%
SBS,10.7700,10.7850,10.4450,10.5700,1805657,2022-10-12,10.8200,-0.2500,-2.3105%
