Apertura,Cantidad_Nominal_Compra,Cantidad_Nominal_Venta,Cantidad_Operaciones,Cierre_Anterior,Denominacion,Estado,Ex,Hora_Cotizacion,Maximo,Minimo,Monto_Operado_Pesos,Precio_Compra,Precio_Promedio,Precio_Promedio_Ponderado,Precio_Venta,Simbolo,Tendencia,Tipo_Liquidacion,Ultimo,Variacion,Vencimiento,Volumen_Nominal
7400.0,4,211,46,7366.0,BANCO COMAFI S.A.,,No,17:00:02,7639.5,7365.0,9150738,7010.0,7510.8587,7531.7913,7745.0,BA,-1,Pesos,7365.0,-0.01,48hs,1212
5100.0,4,48,119,5149.5,BANCO COMAFI S.A.,,No,17:00:02,5232.5,5075.0,38351865,4950.0,5169.9244,5163.7265,5114.0,BA.C,-1,Pesos,5094.0,-1.08,48hs,7380
17.0,16,2,4,16.8,,,No,17:00:02,17.0,16.55,167,16.8,16.7875,16.7619,17.6,BA.CD,0,Du00f3lar efectivo,16.8,0.0,48hs,10
2790.0,1,1,635,2861.5,BANCO COMAFI S.A.,,No,17:00:02,2845.0,2780.0,118752755,2700.0,2806.3402,2801.0224,3490.0,BABA,0,Pesos,2785.5,-2.66,48hs,42384
9.5,183,4,36,9.7,,,No,17:00:02,9.55,9.36,4094,9.36,9.4353,9.4228,12.2,BABAD,0,Du00f3lar efectivo,9.36,-3.51,48hs,434
25.5,4,3,2,25.0,,,No,17:00:02,25.5,25.15,455,23.9,25.325,25.2577,50.0,BAD,-1,Du00f3lar efectivo,25.15,0.6,48hs,18
558.0,2,67,16,558.0,BANCO COMAFI S.A.,,No,17:00:02,567.0,552.5,272603,553.0,561.8438,561.8501,700.0,BB,-1,Pesos,555.0,-0.54,48hs,484
1178.0,1,232,158,1170.5,BANCO COMAFI S.A.,,No,17:00:02,1199.5,1154.0,11204437,985.0,1181.1962,1185.6925,1200.0,BBD,0,Pesos,1178.5,0.68,48hs,9464
0.0,230,10,,0.0,,,No,,0.0,0.0,0,3.91,0.0,0.0,4.059,BBDD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
1480.0,1,8,22,1469.5,BANCO COMAFI S.A.,,No,17:00:02,1481.5,1463.0,3516427,1200.0,1478.6818,1477.8621,1490.0,BBV,-1,Pesos,1472.0,0.17,48hs,2376
0.0,2066,0,,0.0,,,No,,0.0,0.0,0,4.93,0.0,0.0,0.0,BBVD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2332.5,4,4,10,2356.5,BANCO COMAFI S.A.,,No,17:00:02,2354.0,2320.5,147292,1884.0,2341.4,2342.9296,2585.0,BCS,1,Pesos,2348.0,-0.36,48hs,63
