Programa  de  CEDEAR,Ratio  Cedear  /  valor  sub-yacente,Id  de  mercado,Ticker  en  mercado  de  origen
SPOTIFY TECHNOLOGY SA,28:1,SPOT,SPOT
BLOCK INC,20:1,SQ,SQ
S&P GLOBAL INC,45:1,SP GI,SP GI
STARBUCKS CORP,4:1,SBUX,SBUX
SUZANO SA - SPON ADR,1:1,SUZ,SUZ
SYSCO CORP,2:1,SYY,SYY
TAIWAN SEMICONDUCTOR-SP ADR,1:3,TSM,TSM
TARGET CORP,4:1,TGT,TGT
TATA MOTORS LTD-SPON ADR,1:1,TTM,TTM
TATNEFT PAO-SPONSORED ADR,4:1,ATAD,OAOFY
TELECOM ITALIA SPA-SPON ADR,1:1,TIIAY,TIIAY
TELEFONICA BRASIL-ADR,1:1,VIV,VIV
TELEFONICA SA-SPON ADR,8:1,TEFO,TEF
TENARIS SA-ADR,1:1,TEN,TS
TERNIUM SA-SPONSORED ADR,2:1,TXR,TX
TESLA INC,15:1,TSLA,TSLA
TEXAS INSTRUMENTS INC,5:1,TXN,TXN
THERMO FISHER SCIENTIFIC INC,22:1,TMO,TMO
TIM SA-ADR,1:1,TSU,TIMB
TOTALENERGIES SE - ADR,3:1,TTE,TTE
TOYOTA MOTOR CORP -SPON ADR,5:1,TM,TM
TRAVELERS COS INC/THE,6:1,TRV,TRV
TRIP.COM GROUP LTD-ADR,2:1,TCOM,TCOM
TRIPADVISOR INC,2:1,TRIP,TRIP
TWILIO INC,36:1,TWLO,TWLO
TWITTER INC,2:1,TWTR,TWTR
ULTRAPAR PARTICPAC-SPON ADR,1:1,UGP,UGP
UNILEVER N V -NY SHARES,3:1,UL,UL
UNION PACIFIC CORP,20:1,UNP,UNP
UNITED STATES STEEL CORP,3:1,X,X
UNITEDHEALTH GROUP INC,33:1,UNH,UNH
URBAN OUTFITTERS INC,2:1,URBN,URBN
US BANCORP,1:1,USB,USB
VALE SA-SP ADR,2:1,VALE,VALE
VERISIGN INC,6:1,VRSN,VRSN
VERIZON COMMUNICATIONS INC,2:1,VZ,VZ
VISA INC-CLASS A SHARES,6:1,V,V
VISTA ENERGY S.A.B. de C.V,1:5,VIST,VIST US
VODAFONE GROUP PLC-SP ADR,1:1,VOD,VOD
WALGREENS BOOTS ALLIANCE INC,3:1,WBA,WBA
WALMART INC,6:1,WMT,WMT
WALT DISNEY CO/THE,4:1,DIS,DIS
WEIBO CORP-SPON ADR,6:1,WBO,WB
WELLS FARGO & CO,5:1,WFC,WFC
XEROX HOLDINGS CORP,1:1,XRX,XRX
XP INC,4:1,XP,XP
YAMANA GOLD INC,1:1,AUY,AUY
YANKUANG ENERGY GROUP CO. LTD.,2:1,YZCA,YZCAY
YELP INC,2:1,YELP,YELP
ZOOM VIDEO COMMUNICATIONS-A,47:1,ZM,ZM
